date,fire_scar,site,plot,location,site_notes,shrub_regen_present,shrub_regen_species,shrub_regen_count,shrub_notes,s_bd1,s_bd2,s_bd3,photos
2021-07-17,Aggie Creek,AgCr1,A,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr1,A,9 m,NA,no,NA,NA,NA,NA,NA,NA,2a9f2885-8ca3-4981-ba48-b89f458a7ff0
2025-07-21,Aggie Creek,AgCr1,A,6 m,Seedling hand recorded,no,NA,NA,NA,NA,NA,NA,45774de1-12d6-48eb-ae6d-ac3216c481a2
2025-07-21,Aggie Creek,AgCr1,A,3 m,"Took seedlings and shrub data separately on notebook, photo has iPad cover smudge",no,NA,NA,NA,NA,NA,NA,bcc59194-ee4c-45b8-8ac7-692d4beddf11
2021-07-17,Aggie Creek,AgCr1,B,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr1,B,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr1,B,9 m,NA,no,NA,NA,NA,NA,NA,NA,b1bbe74e-c98a-4db5-a7cf-eeb434ea13a5
2025-07-21,Aggie Creek,AgCr1,B,3 m,NA,no,NA,NA,NA,NA,NA,NA,9c7c1428-d6e9-40b2-b8b2-992749b8ac5d
2025-07-21,Aggie Creek,AgCr1,B,6 m,NA,no,NA,NA,NA,NA,NA,NA,30052869-fbcb-4da7-93ac-b4265b1a7388
2021-07-17,Aggie Creek,AgCr1,C,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr1,C,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr1,C,3 m,NA,yes,Salix,2,NA,2.13,2.19,NA,7800d39c-3283-4ca6-8835-44889778a8cd
2025-07-21,Aggie Creek,AgCr1,C,9 m,NA,no,NA,NA,NA,NA,NA,NA,f0cbb759-4e9c-4764-9986-849abcd62030
2025-07-21,Aggie Creek,AgCr1,C,6 m,NA,no,NA,NA,NA,NA,NA,NA,6d9d7124-7b62-40b6-aa2f-9e0ea1732b7c
2021-07-17,Aggie Creek,AgCr2,A,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr2,A,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr2,A,3 m,NA,no,NA,NA,NA,NA,NA,NA,2f345618-7263-404d-b401-9f44b898a806
2025-07-21,Aggie Creek,AgCr2,A,9 m,NA,no,NA,NA,NA,NA,NA,NA,"aa34a63f-26f4-466e-9a6e-e38a288823f5,9e71f1c4-3cec-4015-88a4-52ea5e420d43"
2025-07-21,Aggie Creek,AgCr2,A,6 m,NA,no,NA,NA,NA,NA,NA,NA,116742f7-8fab-4c4f-aabc-bf7b2bc649dd
2021-07-17,Aggie Creek,AgCr2,B,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr2,B,NA,NA,no,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr2,B,3 m,NA,no,NA,NA,NA,NA,NA,NA,215bf254-71a4-4b26-b140-6e94d31cecee
2025-07-21,Aggie Creek,AgCr2,B,9 m,NA,no,NA,NA,NA,NA,NA,NA,892fefc6-4eaf-4b33-a775-a66b7a87ef4b
