"fire_scar","site","old.site","date","year","latitude_at_0m","longitude_at_0m","latitude_at_30m","longitude_at_30m","elevation","slope","aspect","transect_orientation","dNBR","severity","ground_severity","moisture_class","pre_fire_vegetation","site_notes","site_photo_start","site_photo_end"
"Aggie Creek","AgCr1",111,"7/17/2021",2021,65.23943,-148.13654,NA,NA,344,9,23,NA,0.726504921913147,NA,NA,"mesic-subxeric","Black spruce; unburned birch and spruce nearby","Most trees down;  severe burn; a little grassy; lots of birch and spruce regeneration ",NA,NA
"Aggie Creek","AgCr1",111,"7/21/2025",2025,65.239433,-148.136556,65.239433,-148.136556,358,0,211,121,0.726504921913147,NA,3,"mesic","Bs","Mixed. Spruce and birch regen, some big birch. Unburned birch nearby (100m)","aead2fcd-1c64-4aa8-9076-8a8b6eea0ea6","f32fa451-9741-4adb-b2d2-e256d4ba2788"
"Aggie Creek","AgCr2",93,"7/17/2021",2021,65.23635,-148.1286,NA,NA,358,11,38,NA,0.542445242404938,NA,NA,"mesic","Black spruce","Low combustion of trees; rocky; most organic hit rock before mineral; generally small org layers; ",NA,NA
"Aggie Creek","AgCr2",93,"7/21/2025",2025,65.236344,-148.128961,65.236169,-148.128417,369,0,199,109,0.542445242404938,NA,1,"mesic-subhygric","0","Site is rocky with only spruce regeneration. Shallow organic layer on top of rocks transition out the surface organic burned soil. Mostly polytrichum moss.","5c4d50bc-88a2-4148-bdc7-c5e5b4f8e9f7","c08db556-c7ab-4d1e-8e50-57201755dba4"
"Aggie Creek","AgCr3",94,"7/17/2021",2021,65.23642,-148.1326,NA,NA,369,10.5,334,NA,0.585850358009338,NA,NA,"mesic-subhygric","Black spruce - a few live ones ","Humid layer is thick. Patches of sphagnum. Small back spruce. Rocky soils. Some spruce regeneration and birch. Low severity. ",NA,NA
"Aggie Creek","AgCr3",94,"7/21/2025",2025,65.236381,-148.13255,65.236381,-148.13255,344,0,170,80,0.585850358009338,3,2,"mesic","Black spruce low density and productivity ","Patches of unburned sphagnum. Highly variable, rocky site. Patches and f high density spruce on chard sphagnum. Landscape undulating.","c74c8bdf-f18f-4b05-bcc0-54feff338d88","36b9a017-d2ee-4ea2-bb28-75715a55cc39"
"Aggie Creek","AgCr4",89,"7/18/2021",2021,65.2315,-148.13765,NA,NA,376,2,259,NA,0.628085911273956,NA,NA,"subhygric","Black spruce and tussocks","Soils collected intertussock; low severity",NA,NA
"Aggie Creek","AgCr4",89,"7/22/2025",2025,65.23154,-148.13757,65.231244,-148.137483,340,2,261,171,0.628085911273956,1,1,"subhygric","Black spruce","Old site is Aggie 89 end cord:65.23125 148.13747
Low spruce density. Spruce regen. Unburned patched with Sphagnum. Standing water is present. Bethany and some alder is present. Tussocks are present. Previous site was 89","ad483a7a-f182-453b-8993-710df6873ab6","bf0dae68-80ca-4c0e-bc07-112e51f0a5f1"
"Aggie Creek","AgCr5",110,"7/18/2021",2021,65.23412,-148.13985,NA,NA,367,2.5,206,NA,0.650740504264832,NA,NA,"mesic-subhygric","Black spruce","Starts at tenge of tussock patch. High severity. Deep burning. Spruce and birch regeneration.low drainage. ",NA,NA
"Aggie Creek","AgCr5",110,"7/22/2025",2025,65.234131,-148.139844,65.234281,-148.140417,382,2,206,296,0.650740504264832,3,2,"mesic","Black spruce, low density."," Loads of spruce regeneration. One or two birch regen at low density. No permafrost, no rock. End POC 65.23424 148.14020","155cdfc8-5fa6-427b-88c2-6e588370cc73","122482c1-24b9-4a39-b6af-bcfe6cfe4ccc"
"Aggie Creek","AgCr6",109,"7/18/2021",2021,65.23398,-148.13544,NA,NA,352,3,223,NA,0.579750597476959,NA,NA,"mesic","Black spruce","High severity. Humid later. Spruce and birch regen. Most trees fallen. Deep burning. ",NA,NA
"Aggie Creek","AgCr6",109,"7/22/2025",2025,65.23406,-148.13551,65.234264,-148.135739,420,2,252,342,0.579750597476959,2,3,"mesic","Black spruce","Lots of spruce and birch regen. High severity. Most trees fallen. Slope is minimal. Was previously 109. End coordinates: 65.23426 148.13573. Datum: WGS84","891f9900-d485-44bd-92b2-869965961396","6b12241c-5cd4-42d3-a68f-9c286913c04b"
