date,fire_scar,site,plot,CollectionID,location..m.,green_moss,depth1,org_hit,thaw_d,thaw_hit,ar_sol_depth1,ar_sol_hit,ar_height1,ar_height2,ar_height3,ar_height_avg,collected,sample_id,sample_depth1,sample_depth2,sample_width1,sample_width2,sample_length1,sample_length2,organic_notes,min_depth,m1_depth1,m1_depth2,m2_depth1,m2_depth_2,min_coregrab,mineral_notes,general_notes,sample_photo
2021-07-17,Aggie Creek,AgCr1,A,NA,NA,NA,7,Mineral,40,Rock,4,Mineral,NA,NA,NA,29,yes,111-A,7,7,10,10,9,9,NA,10,NA,NA,NA,NA,Grab,NA,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,NA,NA,NA,23,Mineral,52,Rock,4.25,Mineral,NA,NA,NA,23.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,NA,NA,NA,8,Mineral,38,Rock,12.5,Mineral,NA,NA,NA,12.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr1,A,AGCR1A3,3,3.5,3,Mineral,29,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr1,A,AGCR1A6,6,8,2,Mineral,60,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hole depth = organic layer depth for all,NA
2025-07-21,Aggie Creek,AgCr1,A,AGCR1A9,9,8.5,3,Mineral,45,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr1,B,NA,NA,NA,14.5,Mineral,35,Rock,9,Mineral,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr1,B,NA,NA,NA,12.5,Mineral,32,Rock,12.5,Mineral,NA,NA,NA,14,yes,111-B,13,12,10,10,9.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr1,B,NA,NA,NA,18,Mineral,36,Rock,7.5,Mineral,NA,NA,NA,19.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr1,B,AGCR1B3,3,2,7,Mineral,54,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr1,B,AGCR1B6,6,9.5,3.5,Mineral,83,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr1,B,AGCR1B9,9,5,3.5,Mineral,60,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr1,C,NA,NA,NA,9.25,Mineral,42,Rock,16,Mineral,NA,NA,NA,11,yes,111-C,10,8.5,10,9,11,11,NA,10,NA,NA,NA,NA,Grab,NA,NA,NA
2021-07-17,Aggie Creek,AgCr1,C,NA,NA,NA,5.5,Mineral,47,Rock,6,Mineral,NA,NA,NA,15.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr1,C,NA,NA,NA,10.75,Mineral,40,Rock,0,Mineral,NA,NA,NA,22.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr1,C,AGCR1C3,3,6,9,"Mineral,Rock",71,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr1,C,AGCR1C6,6,10.5,4.5,Mineral,53,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr1,C,AGCR1C9,9,10,4,Rock,30,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr2,A,NA,NA,NA,10,Mineral,56,Rock,12.75,Rock,NA,NA,NA,20.83333333,yes,93-A,10,10.5,11,11,10,9.5,NA,10,NA,NA,NA,NA,Grab,NA,NA,NA
2021-07-17,Aggie Creek,AgCr2,A,NA,NA,NA,30.5,Rock,31,Rock,14.5,Rock,NA,NA,NA,6.833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr2,A,NA,NA,NA,9.25,Mineral,57,Rock,27,Mineral,NA,NA,NA,8.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr2,A,AGCR2A3,3,1,10.5,Mineral,43,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr2,A,AGCR2A6,6,4.5,5.5,Mineral,17,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr2,A,AGCR2A9,9,0.5,14,Mineral,15,Rock,NA,NA,NA,NA,NA,NA,no,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr2,B,NA,NA,NA,6.5,"Mineral,Rock",17,Rock,15.5,Mineral,NA,NA,NA,6.5,yes,93-B,6.5,6.5,10.5,11,11,11,NA,6,NA,NA,NA,NA,Grab,NA,NA,NA
2021-07-17,Aggie Creek,AgCr2,B,NA,NA,NA,3.75,Mineral,14,Rock,5,Mineral,NA,NA,NA,16.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr2,B,NA,NA,NA,12,Rock,38,Rock,8.75,Mineral,NA,NA,NA,9.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr2,B,AGCR2B3,3,0.5,5,Mineral,20,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr2,B,AGCR2B6,6,0,3.5,Mineral,54,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-21,Aggie Creek,AgCr2,B,AGCR2B9,9,0,20.5,Mineral,70,Rock,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr2,C,NA,NA,NA,18,Rock,24,Rock,4.25,Rock,NA,NA,NA,12.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,Aggie Creek,AgCr2,C,NA,NA,NA,10.5,"Mineral,Rock",20,Rock,12.5,Rock,NA,NA,NA,3,yes,93-C,12,11,10.5,10,10,9.5,NA,4,NA,NA,NA,NA,Grab,NA,NA,NA
