date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,count,livedead,tree_notes,photos
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,5.6,NA,100,100,100,50,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,5.6,NA,100,100,100,50,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,5,NA,100,100,75,50,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,5,NA,100,100,75,50,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,yes,NA,4.8,NA,100,75,50,25,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,yes,NA,4.8,NA,100,75,50,25,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,4.7,NA,25,50,25,25,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,4.7,NA,25,50,25,25,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,4.1,NA,0,25,25,0,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,4.1,NA,0,25,25,0,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,3.7,NA,0,50,25,0,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,3.7,NA,0,50,25,0,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,3.1,NA,25,25,25,0,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,3.1,NA,25,25,25,0,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,3,NA,0,50,25,25,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,3,NA,0,50,25,25,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,2.5,NA,75,100,75,50,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,2.5,NA,75,100,75,50,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,2.5,NA,100,100,100,50,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,2.5,NA,100,100,100,50,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,2.5,NA,0,75,50,25,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,2.5,NA,0,75,50,25,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,2.5,NA,0,50,25,0,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,2.5,NA,0,50,25,0,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,2,NA,100,100,100,50,NA,NA,dead,NA,NA
2021-07-17,Aggie Creek,AgCr1,A,black spruce,no,NA,2,NA,100,100,100,50,NA,NA,dead,NA,NA
